code;sub category;count
Blackmail;Consent;133
CNC;Consent;231
Consensual;Consent;596
Extreme;Consent;534
Heavy;Consent;772
Light;Consent;220
Moderate;Consent;429
Non-Consensual;Consent;751
Reluctant;Consent;396
Romantic;Consent;131
Soft;Consent;60
18yo;Fetish;328
ASFR;Fetish;24
Bestiality;Fetish;139
Bondage;Fetish;867
Bratty;Fetish;98
Breath Control;Fetish;48
CBT;Fetish;147
Chastity;Fetish;186
Cuck;Fetish;60
Dilation;Fetish;108
Domination;Fetish;986
Enema;Fetish;89
Exhibitionism;Fetish;321
Feet;Fetish;104
Hair;Fetish;62
Humiliation;Fetish;888
Incest;Fetish;133
Interracial;Fetish;91
Lactation;Fetish;36
Latex;Fetish;137
Leather;Fetish;138
Lingerie;Fetish;152
Masochism;Fetish;443
Mind Control;Fetish;188
Modification;Fetish;226
Pain;Fetish;694
Pregnant;Fetish;47
Primal;Fetish;41
Rape;Fetish;423
Rubber;Fetish;92
Sadism;Fetish;748
Scat;Fetish;103
Sex Toys;Fetish;314
Size;Fetish;73
Snuff;Fetish;124
Spanking;Fetish;361
Submission;Fetish;885
Trans;Fetish;41
Voyeurism;Fetish;132
Water Sports;Fetish;202
f;Gender;899
F;Gender;646
f+;Gender;387
F+;Gender;279
Ff;Gender;40
Ff+;Gender;27
FL;Gender;4
fl;Gender;4
FL+;Gender;6
fl+;Gender;4
FLfl;Gender;3
FLfl+;Gender;2
fl-self;Gender;3
f-self;Gender;87
M;Gender;634
m;Gender;292
M+;Gender;345
m+;Gender;65
Mm;Gender;21
Mm+;Gender;3
m-self;Gender;26
n;Gender;5
N;Gender;4
N+;Gender;6
n+;Gender;3
Nn;Gender;1
Nn+;Gender;1
n-self;Gender;2
t;Gender;32
T;Gender;19
t+;Gender;7
T+;Gender;3
t-self;Gender;2
Tt;Gender;6
Tt+;Gender;3
1st Time;Theme;153
College;Theme;148
Comedy;Theme;38
Documentary;Theme;35
Fantasy;Theme;265
Gothic;Theme;23
High School;Theme;152
Historical;Theme;40
Online;Theme;38
Poem;Theme;1
Real Life;Theme;746
Religious;Theme;12
Sci Fi;Theme;107
Script;Theme;7
Work;Theme;139
English;Language;1542
German;Language;27
French;Language;2
Italian;Language;1
